Valence,Year,Acousticness,Artists,Danceability,Duration,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Duration_minutes
0.557,2020,0.0755,"Future, Lil Uzi Vert",0.84,166637,0.502,No explicit content,0.0,0,0.115,-5.974,Minor,Million Dollar Play,22,0.41,150.08,02:46
0.139,2020,0.0435,"Future, Lil Uzi Vert",0.764,193859,0.502,No explicit content,0.0,5,0.158,-5.805,Minor,Plastic,22,0.0657,159.984,03:13
0.385,2020,0.48700000000000004,Wild Rivers,0.732,199391,0.32799999999999996,No explicit content,0.0,5,0.0677,-8.13,Major,Thinking 'Bout Love,66,0.0327,141.789,03:19
0.4970000000000001,2020,0.0202,"Future, Lil Uzi Vert",0.85,167397,0.627,No explicit content,0.0,11,0.15,-6.7410000000000005,Major,Sleeping On The Floor,22,0.341,150.93,02:47
0.179,2020,0.9940000000000001,"Frédéric Chopin, Ivan Moravec",0.326,301013,0.013000000000000001,No explicit content,0.929,1,0.0841,-30.094,Minor,"Mazurkas, Op. 50",20,0.0379,134.438,05:01
0.522,2020,0.188,"Future, Lil Uzi Vert",0.857,222295,0.639,No explicit content,0.0,8,0.20199999999999999,-5.392,Major,Moment of Clarity,19,0.139,122.075,03:42
0.63,2020,0.138,Sebastian Yatra,0.779,230280,0.675,No explicit content,0.0,11,0.105,-4.976,Major,Traicionera,11,0.0485,91.006,03:50
0.0758,2020,0.11800000000000001,Sono,0.6940000000000001,267138,0.447,No explicit content,0.0004860000000000001,0,0.159,-6.9270000000000005,Major,Space Oddity,10,0.027000000000000003,132.053,04:27
0.41100000000000003,2020,0.374,"Anuel AA, Mariah Angeliq",0.789,222385,0.809,Explicit content,0.0,8,0.20199999999999999,-3.417,Major,Bandido,73,0.0615,95.935,03:42
0.903,2020,0.287,Sono,0.802,227773,0.8059999999999999,No explicit content,0.0016699999999999998,2,0.37,-5.207999999999998,Major,Heading For - Radio Edit,4,0.0603,120.044,03:47
0.522,2020,0.00122,Conan Gray,0.623,185787,0.647,No explicit content,0.0,8,0.354,-5.438,Major,Maniac,4,0.04,107.98700000000001,03:05
0.223,2020,0.20600000000000002,Sam Smith,0.4970000000000001,189307,0.618,No explicit content,0.0,1,0.40299999999999997,-7.351,Major,Another One,5,0.0932,123.305,03:09
0.207,2020,0.917,Sam Smith,0.758,220237,0.155,No explicit content,0.0,3,0.11599999999999999,-10.252,Major,Forgive Myself,5,0.0447,122.02600000000001,03:40
0.46799999999999997,2020,0.486,Sam Smith,0.6659999999999999,207528,0.726,No explicit content,0.0,11,0.0892,-2.998,Major,Kids Again,5,0.0262,128.04399999999998,03:27
0.768,2020,0.89,"J Balvin, ROSALÍA",0.524,159573,0.384,No explicit content,0.0,9,0.0964,-10.049,Minor,Brillo,5,0.36,145.947,02:39
0.75,2020,0.037000000000000005,"Shawn Mendes, Camila Cabello",0.759,190960,0.54,No explicit content,0.0,9,0.0945,-6.039,Minor,Señorita,5,0.0287,116.947,03:10
0.922,2020,0.0754,Daddy Yankee,0.805,224800,0.878,No explicit content,0.00329,7,0.0656,-3.826,Major,Limbo,5,0.0864,124.994,03:44
0.4970000000000001,2020,0.345,Justin Bieber,0.677,208520,0.506,No explicit content,0.0,9,0.11800000000000001,-6.652,Minor,Yummy,6,0.0964,145.843,03:28
0.6679999999999999,2020,0.0334,J Balvin,0.72,199947,0.669,No explicit content,0.0,4,0.147,-6.244,Minor,Tranquila,6,0.207,175.93400000000003,03:19
