mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,duration,counts
1,lo-fi indie,0.5668752200856391,0.44677044268774696,192601.9005324989,0.4843241260430391,0.5472137439323672,0.14441578370663155,-11.831661755599473,0.04106631543697849,116.55517452459377,0.3637143527667985,53.40112977602107,1,03:12,10
1,london rap,0.11165,0.7425,167336.25,0.525,0.003575,0.103275,-7.19125,0.15937500000000002,113.30575000000002,0.3994,71.25,11,02:47,2
1,louisiana blues,0.5770408424247431,0.6266238545605239,209174.8639420332,0.4859713432491221,0.12078246508861525,0.1806699529876041,-12.05738572681864,0.050346547381275725,114.81609790271835,0.7181420232111688,32.20255223306484,7,03:29,1
1,louisville indie,0.2712166666666667,0.4955666666666667,261319.11666666676,0.6405833333333333,0.20951555,0.16362166666666667,-6.884266666666666,0.08117166666666667,142.94476666666662,0.30675,54.08333333333334,2,04:21,2
1,lounge,0.7204327946715819,0.4613241782869109,191544.9267199537,0.3500445730018506,0.26718143877797706,0.19353084768662496,-12.954417219804585,0.05051741518827428,113.28548726864729,0.4740377054631057,24.44197499106303,5,03:11,11
1,lovers rock,0.21351211000505585,0.7409935020452109,232893.56956373755,0.5392559128469624,0.028800631061803018,0.1508117640638032,-9.548853071095168,0.15143789162796567,114.22248839755574,0.7602997950735649,43.30639148946398,7,03:52,4
1,lullaby,0.8487679738562091,0.4586992374727668,166390.10432098768,0.13235261307189544,0.6670255752396514,0.17088436092955706,-21.327812091503283,0.07379345679012346,111.6185638344227,0.3176188525780682,59.14847494553378,0,02:46,13
1,madchester,0.0712984762225224,0.5283732499204227,238847.1064574218,0.7750848578604997,0.1296610176040434,0.20158076944724174,-8.609306879116314,0.0479836258500301,121.18173531741208,0.6026523452062643,44.8040215032294,11,03:58,3
1,maine hip hop,0.145,0.636,249160.0,0.774,0.0,0.633,-5.474,0.344,92.429,0.774,48.0,0,04:09,1
1,maine indie,0.5755,0.5228333333333334,290177.58333333326,0.3592500000000001,0.002012646666666666,0.12126666666666665,-9.019083333333334,0.046483333333333335,122.45941666666666,0.3765833333333334,46.58333333333334,4,04:50,3
1,mainland chinese pop,0.5595,0.5549999999999999,269357.0,0.45875,4.9e-07,0.14095,-7.98025,0.036175,149.145,0.429,56.0,6,04:29,1
0,malaysian pop,0.0987925,0.557875,238100.5,0.579875,0.0123554725,0.1391125,-6.647625,0.04200000000000001,138.10337500000003,0.3017,52.625,9,03:58,1
1,malmo indie,0.0076799999999999985,0.611,247572.0,0.742,0.831,0.23199999999999998,-7.402,0.0445,103.039,0.34299999999999997,49.0,7,04:07,1
1,mambo,0.6566371578827292,0.600438724746876,199446.41028977852,0.5712336666866934,0.3064730456479042,0.17923822630627118,-9.545076998670051,0.05825072810212065,119.06916884135721,0.7272083409595129,21.189022389452813,7,03:19,1
1,mandolin,0.610131948051948,0.5485372077922078,245878.8528571429,0.4382650108225108,0.16187190064718612,0.17497220129870128,-12.3337191991342,0.05940614285714285,126.26145326839828,0.5998367207792208,41.342251082251074,7,04:05,2
1,mandopop,0.5121743076766039,0.5576201953047042,270475.12604243396,0.4599490011129664,0.00014420922285637567,0.1710663856306379,-9.101510419499654,0.0325305253349817,123.60722384937252,0.3407634056300764,51.9131662349903,2,04:30,5
1,mantra,0.8349079999999999,0.4934580000000001,374175.918,0.315056,0.04432267747999999,0.1980868,-12.05831,0.04419599999999999,116.194894,0.3605359999999999,0.14800000000000002,9,06:14,3
1,mariachi,0.6024178196954093,0.5342891823657031,200124.94313825204,0.3827932443254259,0.06306060052840765,0.22416394705215206,-9.52970418109259,0.04267183838382043,126.66909009508959,0.6638926349398859,35.16071812849333,0,03:20,8
1,mariachi cristiano,0.4149577091651141,0.5963142312128471,254103.0616892911,0.4992806050927159,0.002862566576789992,0.16542876852098307,-8.451264049330138,0.034000345133528516,131.518018791589,0.5446949960074529,44.86695945346465,5,04:14,1
0,mathcore,0.00100335,0.3818333333333333,184776.33333333328,0.8849999999999999,0.009952041666666666,0.17047500000000002,-4.038333333333334,0.14476666666666668,138.19566666666665,0.23096666666666665,53.0,9,03:04,2
1,medieval folk,0.5073671690476189,0.4589761904761906,261446.6623809524,0.4249955238095238,0.2955603940095238,0.13183114285714284,-11.267856428571427,0.041735904761904766,107.56456833333333,0.2785002857142857,40.33357142857143,7,04:21,3
1,medieval rock,0.13803629999999995,0.4830714285714285,282069.2142857143,0.7611428571428571,0.4690143314285714,0.11920714285714284,-7.922142857142857,0.0563,124.41057142857143,0.3463571428571429,55.64285714285714,11,04:42,1
1,meditation,0.7563347883597883,0.2605024037999038,377587.17315776827,0.18011038760942755,0.6547792548244349,0.11649993073593075,-22.906886774891767,0.04623813107263108,97.81643038480041,0.12952314117364114,46.91892496392496,5,06:17,4
1,melancholia,0.4755157266891529,0.4893425813004286,248743.6884880617,0.4388749011022736,0.20637106640772648,0.1707811742520834,-12.121167622404533,0.04190285874125451,119.58967440757252,0.3862742726110448,44.09759189728343,9,04:08,12
1,melbourne bounce,0.03799325925925926,0.7108703703703704,209019.6481481481,0.8054999999999999,0.0630913248148148,0.2804407407407407,-5.12675925925926,0.07782222222222222,121.07033333333334,0.5520925925925927,57.35185185185186,5,03:29,1
1,melbourne bounce international,0.02220983333333333,0.7612261904761904,246885.1904761905,0.7966571428571428,0.257753383,0.17420809523809525,-5.668488095238095,0.08477333333333334,127.42643333333334,0.5199552380952381,30.607142857142854,11,04:06,2
